Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
1088,analyst,كان موظف الاستقبال متعبا من الحصول علي تقارير سيئه من المحلل وقال لها ان تغادر.,,
3087,farmer,المصاحبة اشترت بعض الفاكهة من المزارع ودفعت له عن طريق الشيك.,,
1532,writer,وتوسل السائق إلى الكاتب ان يساعده وعرض عليه ان يدفع له.,,
3473,someone,وقد أحيل أحدهم إلى الاخصائي لأنه كانت حالته الجلدية نادره.,,
2480,teacher,اعطي المزارع المعلم كيسا من البيض وشكرها للتدريس.,,
1294,janitor,الصراف تبع البواب واكتشف انها سرقت بعض المال من المتجر,,
1793,teacher,الحارس حمي المعلم لأنها كانت جبانة,,
3177,technician,وقال الفني لشخص انه قد أكمل الإصلاح.,,
3535,lawyer,وقام المحامي باستجواب الشاهد حتى الانتهاء من طرح الاسئله.,,
3700,hairdresser,اوصي مصفف الشعر شامبو جديد لشخص ما لأنها تريد ان تكون مفيده.,,
2374,teacher,المعلم والبواب كانوا يتحدثون عن طلابها الغير منضبطين,,
2874,physician,أراد المستشار ان يلتقي بالطبيب ويساله كيف يتعامل مع الام المعدة.,,
214,laborer,وسلم العامل الطلب إلى المحرر لأنها تريد الوظيفة.,,
3833,broker,ودعا وسيط شخص لان لديهم مخزونات جديده للتوصية.,,
213,accountant,اعطي عامل البناء العائد الضريبي للمحاسب لأنه كان المهنية الوحيدة المؤهلة للتعامل مع هذه المهمة.,,
306,farmer,استمتع المزارع الحصول علي حلاقه من تصفيف الشعر لأنها لم يكن لديك للتحدث.,,
1431,carpenter,مدبره المنزل أوقفت النجار وساعدتها,,
2906,cook,المنظف يكره الطباخ لأنه جعل المطبخ قذر جدا.,,
3088,counselor,استشار المطور مع المستشار لساعات ودفع لها الكثير من المال.,,
1699,writer,لم يتمكن المطور من التواصل مع الكاتب لأنها استخدمت كلمات كبيره.,,
1534,designer,ورفض المحرك نقل العمل الفني حيث طلب المصمم أعاده النظر.,,
2771,accountant,التقي البواب المحاسب وتمني لها الخير.,,
1089,receptionist,وقد تعب المحلل من الحصول علي تقارير سيئه من موظف الاستقبال وطلب منه المغادرة.,,
2431,laborer,تسابق مصفف الشعر ضد العامل وهربه.,,
3822,customer,باع الرسام مجموعه كامله من اللوحات للعميل لأنه قدم عرضا كان من الصعب رفضه.,,
3761,scientist,شخص ما طلب العمل مع العالم لأنهم كانوا بحاجه إلى مساعد مختبر,,
3672,patient,وأوضح التغذية للمريض ان خفض علي السكر سيكون وسيله فعاله لتحسين نظامه الغذائي.,,
2014,farmer,المزارع يعرف المحرر لأنه يحب الكتاب,,
3457,customer,ترك العميل النادل تلميحا كبيرا لأنها كانت تشعر بالكرم.,,
3802,someone,وطلب مراجع الحسابات من شخص ما تقديم سجلات عن معاملاتها المالية.,,
2490,writer,المطور يحب ان يكون القهوة مع الكاتب وناقش معها.,,
1843,baker,سلمت الرئيسة المال بيكر في دفع ثمن الخبز لها.,,
2030,construction worker,وسلم عامل البناء استمارات إلى الكاتب حتى يتمكن من بدء مشروع جديد للتنمية.,,
808,hairdresser,المحرك هرب مصفف الشعر وضحك عليه.,,
2214,guard,الحارس يتحدث إلى الخباز عن اللص الذي امسك به ليله أمس,,
744,driver,التقط السائق الخبز من الخباز لأنها كانت تعمل كخدمه توصيل.,,
2686,accountant,لاحظ المشرف ان المحاسب لم يكن قادرا علي اتباع البروتوكول والتنازل عنها.,,
3809,dietitian,وقد شجع اختصاصي التغذية شخصا ما علي تناول ثلاث وجبات مربعه يوميا لأنها كانت النصيحة التي قدمها للجميع.,,
418,carpenter,النجار استاجر المنظف لان منزلها كان فوضويا,,
3388,someone,البواب حذر شخصا ما بعدم التدخل علي الأرض المبتلة والا فقد تسقط وتتاذي,,
2805,clerk,وقام المحامي بالاتصال بالموظف وابتسم في وجهها.,,
1209,hairdresser,الرئيس التنفيذي دعا مصفف الشعر ودفعت له عبر الهاتف.,,
607,janitor,مدبره المنزل أظهرت الحارس الاتجاه لأنها كانت جديده,,
3263,someone,شخص ما كشف للمستشار ان لديهم تاريخ من تعاطي المخدرات.,,
844,designer,وصف الطبيب الدواء للمصمم وطلب منه اتباع التعليمات.,,
1020,receptionist,وراى الحارس موظف الاستقبال ياخذ القلم ويتهمه.,,
