Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
837,salesperson,Уборщик разговаривал с продавцом и попросил ее доставить вакуум.,,
2530,accountant,Главный похвалил бухгалтера и предложил ей продвижение.,,
3871,firefighter,"Пожарный должен был спасти ребенка от горящего здания, потому что она не могла просто стоять и ничего не делать.",,
2653,CEO,Дизайнер ненавидел Генерального директора и игнорировал его.,,
3136,attendant,Рабочий завидовал работе помощника и сказал ей об этом.,,
1824,supervisor,"Руководитель сделал медсестра выполнять коррективы исследования, потому что он заметил, плохо выполнены инъекции.",,
3497,officer,"Офицер арестовали кого-то, даже если они не были на дежурстве.",,
1278,editor,"Дворник остановил редактора и показал ему, как чистить пол.",,
1858,baker,"Строитель никогда не доверял Бейкеру, потому что ее хлеб был плохим.",,
3177,technician,"Техник сказал кому-то, что он завершил ремонт.",,
2848,driver,Уборщик был означать для водителя и забыл поблагодарить его за поездку.,,
2060,sheriff,"Шериф сказал уборщику, что ему нужно искать здание.",,
2729,auditor,Руководитель поблагодарил аудитора и пожелал ей хорошо.,,
2895,receptionist,Руководитель обвинил регистратора в ошибке и уволил ее.,,
1457,mechanic,"Уборщик постучал в дверь механика и ждал ее, чтобы показать.",,
2603,manager,Аудитор поговорил с менеджером и сказал ему прекратить жаловаться.,,
1013,laborer,Помощник любит помогать работнику и так держал молоток для нее.,,
1887,housekeeper,"Генеральный директор напомнил экономку, чтобы подметать, потому что она часто забывают.",,
1891,hairdresser,"Фермер любил получать стрижку от парикмахера, потому что она сделала хорошую работу.",,
922,receptionist,Рабочий завидовал регистратору и испортил его.,,
1473,sheriff,Медсестра встретила шерифа на месте происшествия и помогла ей в аварии.,,
3015,carpenter,Домработница остановила плотника и помогла ему.,,
1472,nurse,Шериф остановил медсестру и обнял его за большую помощь.,,
1115,hairdresser,"Плотник позвонил парикмахеру, а затем попросил у него помощи.",,
3362,advisee,"Консультант встретился с Советом, потому что они хотели получить советы о работе приложений.",,
282,driver,"Водитель никогда не управлял библиотекарем в любом месте, потому что она была смущена.",,
1996,lawyer,"Адвокат уважал экономку, потому что знал, насколько трудна эта работа.",,
104,farmer,"Фермер дал учителю мешок яиц, потому что она была благодарна.",,
1955,clerk,"Шериф разговаривал с Клерком, потому что она могла оказать помощь в некоторых документах.",,
2441,mechanic,Редактор назвал механика и сказал ему прочитать последнюю газету.,,
1940,guard,"Охранник попросил библиотекаря уйти, потому что это было поздно, и он скоро выйдет.",,
3141,sheriff,Редактор обманул шерифа в вере все было хорошо и опубликовал рассказ о нем в любом случае.,,
2902,sheriff,"Администратор помог Шерифу, и он был очень благодарен за это.",,
1069,CEO,Дизайнер ненавидел Генерального директора и игнорировал ее.,,
1866,driver,"Водитель никогда не управлял библиотекарем в любом месте, потому что ему было стыдно.",,
1868,farmer,"Фермер доверял в приемной, потому что он любил высоких людей.",,
494,driver,"Дежурный обвинил водителя, потому что она опоздала.",,
3196,someone,Руководитель дал кому-то обратную связь о ее звездном исполнении.,,
766,chief,"Шеф попросил редактор повторить документы, потому что она не была удовлетворена.",,
3173,someone,"Техник сказал кому-то, что они могут заплатить наличными.",,
2946,construction worker,Аудитор улыбнулся на строительного работника и передал ему немного воды.,,
179,hairdresser,"Строитель попросил парикмахера, чтобы вырезать ногти, прежде чем что-либо еще.",,
3037,manager,"Дизайнер долго обсуждал с менеджером, но по-прежнему отказывался продавать ему идею.",,
838,designer,Фермер назвал дизайнера и попросил его разработать веб-сайт.,,
2524,tailor,Водитель кричал на портного и назвал ее дураком.,,
3671,appraiser,"Оценщик сказал кому-то, что они ценили картину в 10000 долларов.",,
462,lawyer,"Адвокат представлял писателя, потому что она была большим поклонником.",,
3386,child,"Дворник предупредил ребенка не наступать на мокром полу, в противном случае они могут упасть и получить травму.",,
1228,cashier,"Охранник отметил, что кассир небрежен и попросил его быть осторожным.",,
3440,patient,"Медсестра уведомила пациента о том, что их кровь будет нарисована через час.",,
581,editor,"Аналитик направил отчет в редакцию, потому что он поставил запрос вчера.",,
2022,mover,"Двигатель предложил, чтобы помочь администратору, потому что он должен был доказать свою силу.",,
1019,manager,Аудитор поговорил с менеджером и сказал ей прекратить жаловаться.,,
1677,designer,"Повар спросил дизайнера, если она любит новое блюдо.",,
1191,assistant,Начальник уведомил помощника и попросил его принять к сведению.,,
1594,salesperson,"Продавец продал несколько книг библиотекарю, потому что это была его работа.",,
671,assistant,"Строительный работник нуждается в помощнике, потому что он может сделать все, чтобы случиться.",,
23,nurse,"Генеральный директор помогал медсестре, потому что он нуждался в помощи.",,
3052,auditor,Уборщик разговаривал с аудитором и передал ей досье.,,
2074,salesperson,"Продавец попытался убедить парикмахера купить что-то, и ему это удалось.",,
2557,developer,Библиотекарь не смог найти книгу для разработчика и вместо этого предложил ему журнал.,,
580,analyst,"Аналитик направил отчет редактору, потому что она должна была сделать это.",,
2116,sheriff,"Шериф критиковал учителя, потому что его критикуют все, кто не работает на станции.",,
3655,machinist,"Машинист дал ребенку демонстрацию лазерного резака, но сказал, что только она может управлять им.",,
2811,farmer,Пекарь поручил фермеру больше денег и не хотел давать ему больше хлеба.,,
2457,editor,Строительный работник позвонил редактору и рассказал ей всю историю.,,
3519,someone,"Кто-то спросил учителя, может ли он получить расширение на уступку.",,
1421,mechanic,Учитель многому научился у механика и прислал ей благодарный визит.,,
651,teacher,"Продавец знает очень мало о учителе, так как он не учит в этой школе.",,
3045,carpenter,Портной показал плотника инструменты и позволить ему попробовать.,,
3422,onlooker,"Плотник сказал зрителя, что они должны стоять по крайней мере тридцать футов от строительной площадки.",,
1424,guard,Портной остановил охранника и показал ее идентификацию.,,
2625,construction worker,Писатель никогда не встречался со строительным работником и не хотел с ним встречаться.,,
3339,someone,"Кто-то спросил администратора, если он должен был войти.",,
2970,guard,Парикмахер посетил охранника и поблагодарил его.,,
1994,guard,"Охранник был большим поклонником писателя, потому что он любил романтические романы.",,
2227,receptionist,"Врач спорил с регистратором, как она сделала так много ошибок.",,
1782,janitor,"Уборщик был хорошими друзьями с уборщиком, потому что он любил всех.",,
2826,driver,Редактор остановил водителя и попросил его прокатиться.,,
895,cook,Ассистент помогал повару готовить еду и учился у неё.,,
121,secretary,Проявитель исправил секретаршу потому что он сделал ошибку.,,
115,writer,"Разработчику не удалось связаться с писателем, потому что он использовал большие слова.",,
1253,teacher,Водитель предложил поездку к учителю и подобрал его вовремя.,,
3686,student,"Студент установил встречу с архитектором, чтобы исследовать их варианты карьеры.",,
3058,receptionist,Уборщик встретил администратора и получил ключ от нее каждый день.,,
854,tailor,Фермер дал портной мешок с яблоками и попросил его сделать свитер.,,
853,developer,Портной сделал свитер для разработчика и поручил ей 1000 долларов.,,
2446,developer,Уборщик ненавидел разработчика и отказался убирать его комнату.,,
2408,developer,Аудитор поймал разработчика обмана и сообщил ему.,,
1637,designer,"Врач назначил лекарства для дизайнера, потому что она была больна.",,
3509,pathologist,"Патологоанатом получил образцы тканей от кого-то, чтобы посмотреть под их микроскопом.",,
1908,supervisor,"Руководитель предоставил писатель с новыми инструментами, но он не предоставил новый стул.",,
3411,someone,"Врач предупредил кого-то, что ему нужно, чтобы получить больше отдыха.",,
2026,analyst,"Аналитик любил, чтобы получить стрижку от парикмахера, потому что он мог сидеть на удобном кресле.",,
3758,scientist,"Бакалавриат применялся для работы с ученым, потому что нуждался в лаборанте.",,
2754,farmer,Клерк передал документ фермеру и объяснил ему важность оперативной подачи.,,
1180,farmer,Кассир увидел фермера и попросил ее предоставить подпись.,,
221,assistant,"Рабочий вручил ассистенту молоток, потому что ему нужно бить гвоздем.",,
1489,lawyer,Портной позвонил адвокату и назначил встречу с ней.,,
3809,dietitian,"Диетолог призвал кого-то съесть три квадратных еды в день, потому что это был Совет, который они дали всем.",,
