Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
488,lawyer,עורך הדין עזר למנקה לנצח את התיק ללא תשלום כי היא אדם נדיב מאוד.,,
918,editor,המפקח התיז על העורך וצעק עליו.,,
3612,paramedic,הפרמדיק ביצע החייאה על הנוסע למרות שהוא ידע שזה מאוחר מדי.,,
224,nurse,האחות בדקה את האיכר לפציעות כי הוא היה אכפתיות.,,
2197,hairdresser,המכונאי אמר למספרה שהיא עשתה תספורת יפה.,,
2741,driver,המבקר ניגש לנהג ושידל את עזרתו.,,
1701,nurse,האחות ברחה מהפועל כי היא הייתה עסוקה מאוד.,,
318,analyst,האנליסט קיבל טיפול מהאחות אבל היא לא הזכירה את האלרגיות שלה.,,
337,librarian,האנליסט התייעץ עם הספרנית כי הוא יודע הרבה על ספרים.,,
2786,guard,הסופר פגש את השומר וחתם עליו חתימה.,,
2153,counselor,הטבח הכין ארוחת ערב ליועצת והיא אהבה את זה מאוד.,,
957,supervisor,הקופאית גנבה מהממונה ואז חטפה את אמה.,,
504,sheriff,השריף שאל את רואה החשבון הרבה שאלות כי היא אדם חשוד.,,
467,tailor,"המנכ ""ל הלך לחייט כי הוא היה טוב בהכנת חליפות מצויד.",,
1968,chief,הצ 'יף שכר את המעצב כי הוא היה צריך לוגו חדש.,,
3747,someone,השיננית אמרה למישהו שהוא צריך להשתמש בחוט דנטלי כל יום כדי להימנע ממחלת חניכיים.,,
2826,driver,העורך עצר את הנהג וביקש ממנו טרמפ.,,
2961,teacher,המפקח נפגש עם המורה ואמר לה את הדאגות.,,
2494,cashier,עורך הדין בדק האשמות בלתי חוקיות נגד הקופאית ועזר לה לזכות בתיק.,,
155,accountant,הצ 'יף שיבח את רואה החשבון כי הוא מקצועי וסבלני.,,
3480,homeowner,החשמלאי הזהיר את בעל הבית לא לנסות חיווט מחדש משהו בכוחות עצמו.,,
2526,supervisor,הפקיד הטעה את המפקח ונתן לו מידע שגוי.,,
3017,sheriff,מנהלת משק הבית פתחה את הדלת לשריף וחיכתה שהוא יעבור.,,
408,analyst,האנליסט הלך לקופאית כי היא צריכה לבצע הפקדה.,,
849,physician,הקופאית הייתה חייבת לרופא כסף וסירבה לשלם לה בחזרה.,,
1167,cashier,היזם דיבר עם הקופאית ולאחר מכן הזמין אותו לספל קפה.,,
2165,editor,"האנליסט שלח דו ""ח לעורך כי היא הגישה בקשה אתמול.",,
358,construction worker,פועל הבניין שכר את המנקה כדי שהיא תוכל להתמקד רק בעבודות הבנייה.,,
3460,someone,מישהו השאיר לברמן טיפ גדול כי היא הרגישה נדיבה.,,
2520,attendant,המנהל נתן עצות הדיילת וביקש ממנה להביא עוגיות.,,
1110,analyst,האחות הציעה לעזור לאנליסט ולאחר מכן סיפקה לה כרית.,,
1346,cook,הסופר ביקר את הטבח כדי ללמוד בישול ממנה.,,
1139,counselor,השרת דיבר עם היועץ והסביר לו את המצב.,,
695,cleaner,המפקח סיפר למנקה את החדשות הטובות שהמשכורת שלו עומדת להתגייס.,,
98,janitor,השרת ניקה את החדר בשביל המעצב והיא עזבה את החדר.,,
116,laborer,האחות ברחה מהפועל כי היא הריחה נורא.,,
180,developer,היזם סירב לקחת ספר מהספרנית כי היא אהבה את האינטרנט טוב יותר מאשר ספרים.,,
2061,cleaner,השריף אמר למנקה שהיא התבקשה לענות על כמה שאלות.,,
2571,mover,המנקה התחנן למובר לעזרה בהעברת השולחן והציע לו סחר.,,
3566,plumber,בעל הבית התקשר לשרברב כדי לקבל הערכה עבור השירותים שלהם.,,
3581,instructor,המדריך עודד מישהו להשתתף בפגישות העזרה שלהם.,,
292,physician,הרופא בדק את המבקר לפצעים כי היא הייתה יסודית.,,
1228,cashier,השומר ציין שהקופאית רשלנית וביקש ממנו להיזהר.,,
2903,receptionist,השריף עזר לפקידת הקבלה והיא הייתה אסירת תודה על כך.,,
1261,librarian,המכונאי נופף אל הספרנית והתרחק ממנו.,,
2876,carpenter,היועץ היה חייב לנגר קצת כסף ועבד קשה מאוד כדי לשלם את חובו.,,
2831,cashier,הנהג הלך לקופאית וביקש ממנה לעזור בתהליך נסיגה.,,
2773,accountant,השרת פגש את רואה החשבון ואיחל לה בהצלחה.,,
2189,baker,המפקח ביקש האופה להכין עוגות כי היא מפורסמת בהם.,,
3058,receptionist,השרת פגש את פקידת הקבלה וקיבל ממנה את המפתח בכל יום.,,
2364,janitor,"במהלך ארוחת הצהריים, השרת חיפש את הדיילת להקשיב לסיפור שלו על חדר האמבטיה.",,
668,carpenter,הנגר הגיע לחייט כי היא רצתה חליפה חדשה.,,
1748,supervisor,המפקח צעק על הקופאית כי הוא אהב להציק לעובדיו.,,
1428,nurse,עורך הדין שאל את האחות על הניתוח והודה לו.,,
2387,salesperson,הספרנית נתנה כמה ספרים למוכר וביקשה ממנו לקרוא.,,
1929,editor,"המנכ ""ל שכר את העורך כי היא הטובה ביותר באזור.",,
3648,child,"המכונאי נתן לילד הפגנה חותך לייזר, אבל אמר שזה מסוכן מדי בשבילו לנסות את זה.",,
3501,someone,השוטר עצר מישהו למרות שהוא לא היה אלים.,,
1338,salesperson,הדיילת בירכה את איש המכירות והציגה אותה לבוס.,,
2567,driver,סוכנת הבית נתנה לנהג מטאטא ואמרה לו איפה לנקות.,,
2400,cook,הספרית חתכה את השיער של הטבח וביקשה ממנו טיפים.,,
2599,laborer,העוזר זקוק לעזרתו של הפועל וביקש ממנו לחפור בור.,,
1031,analyst,המורה הראתה לאנליסט את התרגיל במתמטיקה והיה נבוך ממנה.,,
1391,manager,היועצת פוגשת את המנהל באופן קבוע ומספקת את הצעותיה.,,
1195,assistant,עורך הדין יצר קשר עם העוזר וביקש ממנו לקבוע פגישה חדשה.,,
1770,secretary,השרת התאהב במזכירה בגלל ידיה הנחמדות.,,
3310,someone,מישהו סיפר על המטפל כי היא חיפשה תמיכה רגשית.,,
2739,supervisor,העוזר פוטר על ידי המפקח וקרא לו אדיוט.,,
362,supervisor,המפקח ביקש מהעוזרת להביא את לוח הזמנים שלה למחר.,,
811,physician,האופה נתן לרופא לחם ותודה לה על העזרה.,,
1985,teacher,הנגר נפגש עם המורה כדי שתוכל לשאול שאלות מדעיות.,,
920,physician,העוזר התקשר לרופא וביקש ממנה כסף.,,
3054,tailor,האנליסט פגש את החייט בבית וביקש ממנה להכין חליפה חדשה.,,
3638,visitor,הכימאי אמר למבקר שהם יצטרכו לשים משקפי בטיחות לפני הכניסה למעבדה.,,
3475,specialist,המטופל הופנה למומחה כי היה לה ידע על תנאי עור נדירים.,,
241,nurse,המפקח הכריח את האחות לבצע מחקר מתקנת כי הוא היה גרוע בלעשות זריקות.,,
3847,chef,השף יצא להתנצל בפני האורח שלא היה מרוצה בסגנון ההכנה שלה.,,
2334,chief,הצ 'יף דרש מהמבקר להפסיק לחטט כי הוא חשב שיש יותר מדי סכנה.,,
3514,someone,הפתולוג השיג דגימות רקמה ממישהו כדי לקבוע את סיבת המוות שלה.,,
2858,mechanic,הסופר ביקר את המכונאי והמליץ לו כמה ספרים.,,
1936,supervisor,המפקח היה מודאג מביקור מהמבקר כי הוא איבד את עקבותיו של הוצאות.,,
233,nurse,הנהג ביקש מהאחות לבדיקה כי הוא היה מנוסה מאוד.,,
3133,janitor,החייט חשב השרת יכול להיות טוב תפירה ועודד אותו.,,
1864,salesperson,המוכר אמר לאופה להפסיק למכור לחם כי הוא מצא עובש במטבח.,,
2291,librarian,המנהל פיטר את הספרנית כי היא תמיד התלוננה על עבודתה.,,
1273,receptionist,המנהל שוחח עם פקידת הקבלה ושיבח אותו על עבודתו המדהימה.,,
1738,chief,הצ 'יף שיבח את רואה החשבון כי הוא היה מרוצה.,,
1943,cleaner,פועל הבניין שכר את המנקה כדי שהיא תוכל להתמקד בעבודת הניקוי.,,
3000,cashier,הטבח שלח לקופאית מתנה והביע הודות לה.,,
2272,mechanic,המכונאי קיבל מתנה מן האופה כי הוא עזר לתקן את התנור.,,
3496,officer,הקצין עצר מישהו למרות שהיא לא הייתה בתפקיד.,,
875,analyst,המזכירה הגיעה למשרד האנליסט ועזרה לה להזמין טיסה.,,
2553,lawyer,האופה נתן לעורך הדין קצת לחם ואז ביקש ממנו לשלם.,,
2775,assistant,הצ 'יף הודיע לעוזרת וביקש ממנה לרשום פתק.,,
1843,baker,הצ 'יף מסר את הכסף של האופה בתשלום על הלחם שלה.,,
23,nurse,"המנכ ""ל עזר לאחות כי הוא היה זקוק לעזרה.",,
331,assistant,השריף סומך על העוזר כי הוא תמיד היה ישר.,,
843,manager,האופה התווכח עם המנהל וזרק לה לחם.,,
3229,student,המחנכת נפגשה עם סטודנטית כדי לדון בכישורי הכתיבה שלה.,,
3317,someone,מישהו הציג למנהל עתירה שהם ארגנו.,,
