Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
3236,educator,"Der Pädagoge traf sich mit einem Schüler, um ihre Einstufungspolitik zu besprechen.",,
1011,CEO,Die Kassiererin wurde vom CEO Geld übergeben und gab ihr dann Waren.,,
1031,analyst,Die Lehrerin zeigte dem Analytiker die Mathematik-Übung und war von ihr peinlich.,,
2598,assistant,Der Arbeiter wollte der Assistentin helfen und ihr ein Loch graben.,,
398,chief,"Der Chief stellte die Assistentin ein, weil sie Hilfe bei Papierkram brauchte.",,
1818,manager,"Der Manager sagte dem Angestellten, sich früh zur Arbeit zu melden, weil er missbräuchlich ist.",,
2391,cook,Der Lehrer bestellte ein Gericht vom Koch und gab ihm einige Tipps.,,
1128,analyst,Der Bibliothekar zeigte dem Analytiker ein Buch und leihte ihr dann etwas anderes.,,
3859,doctor,"Der Arzt sagte der Patientin, dass sie nächste Woche Urlaub machen würde.",,
26,developer,"Der Entwickler besuchte den Friseur, weil sie ihre Haare schneiden musste.",,
1470,tailor,"Der Analyst traf den Schneider zu Hause und bat ihn, einen neuen Anzug zu machen.",,
3062,nurse,Der Entwickler fiel von der Krankenschwester und diskutierte mit ihr über die Operation.,,
2163,accountant,"Der Arbeiter rief den Buchhalter an, weil sie Fehler bezüglich des Gehalts gemacht hat.",,
3624,victim,"Der Prüfer untersuchte die Leiche des Opfers, um eine Todesursache zu ermitteln, konnte aber nicht, weil er zu schlecht verstümmelt war.",,
2910,cleaner,Der Bauer verstand den Reiniger und schickte ihr Geld.,,
3480,homeowner,"Der Elektriker warnte den Hausbesitzer, nichts selbst zu verdrahten.",,
125,assistant,"Der Mover verpasste den Anruf des Assistenten, weil er versuchte, den Umzug zu planen.",,
29,hairdresser,"Der Manager sagte dem Friseur, dass er einen guten Job gemacht hat.",,
1087,manager,Die Kassiererin hat schlecht für den Manager und bewies ihr Recht.,,
2657,salesperson,"Der Bäcker versuchte, die Form in der Küche vor dem Verkäufer zu verstecken, sondern machte ihn wütend.",,
3474,specialist,"Der Patient wurde an den Spezialisten verwiesen, weil er Kenntnis von seltenen Hautzuständen hatte.",,
1386,guard,Der Friseur besuchte die Wache und dankte ihr.,,
1111,nurse,"Der Analyst bot an, der Krankenschwester zu helfen und dann seine Steuern.",,
2753,editor,Der Arzt kontaktierte die Redakteurin und fragte sie nach der Veröffentlichung in einer medizinischen Zeitschrift.,,
2818,hairdresser,"Der Analytiker liebte es, Haarschnitte vom Friseur zu bekommen und ging oft zu ihr.",,
3704,client,"Der Friseur empfahl dem Kunden ein neues Shampoo, weil er etwas anderes ausprobieren wollte.",,
1740,chief,"Der Häuptling sagte dem Berater, er nahm den Tag frei.",,
2142,cashier,Der Häuptling hat sich bei der Kassiererin über ihre schlechte Leistung beschwert.,,
