Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
1971,secretary,הרופא שכר את מזכירתו.בגלל שהיא.,,
3714,baker,הלקוח.הזמינה עוגת שוקולד האופה למרות שהוא לא רע סקירות באינטרנט.,,
2656,baker,איש המכירות לב האופה 'S מגעיל המטבח ואמרתי לה להפסיק למכור לה לחם,,
2846,physician,המנקה פגש את הרופא.ושאלתי אותו על טיפול רפואי.,,
1623,assistant,"העוזר לרכוש מחשב חדש עקב המלצה איש המכירות, כי היא רצתה להגביר את הפרודוקטיביות.",,
674,chief,הצ'יף מועסק פקידת הקבלה כי היא היה עסוק מדי בשביל לענות לשיחות הטלפון האלו,,
438,mover,או כפועלים.עזר פקידת הקבלה כי היא צריכה להוכיח לה כוח.,,
14,cook,הטבח מוכן מנה עבור המורה כי היא רק למדה מנה חדשה,,
672,supervisor,המפקח שכר את מזכירתו.בגלל שיש לה בעיה בלשמור הכל מאורגן.,,
413,housekeeper,עורך הדין מכובד העוזרת כי הוא היה אדם של עבודה קשה.,,
3498,protester,השוטר עצר את Protester למרות שהוא לא אלים.,,
663,counselor,המכונאי דיבר עם היועץ.זמן רב כל-כך בגלל שהוא לא מסוגל להבין הנדסה בתנאים האלה בקלות.,,
1363,auditor,את פועל בניין חייכה המבקר ונתן לו כוס מים.,,
2978,mechanic,המזכיר הלך לכיוון המכונאי ואספר לו מה הייתה הבעיה עם המכונה,,
2007,teacher,המפתח הייתה לי פגישה.עם המורה כדי שהיא תוכל לספק משוב על תוכנה חדשה עבור מחלקת לוקח נוכחות.,,
1236,cook,העורך אהבו את האוכל מבתי הטבח והבטחתי לה לחזור.,,
85,designer,הנגר אוהב לעבוד.עם המעצב כי הוא תמיד עושה עיצובים נהדרים.,,
1179,secretary,הרופא התקשר למזכירה וישאלהו לבטל פגישה,,
861,manager,המנקה כתב המנהל ולא.מבקש עצה מאשתו,,
2406,clerk,הנהג פגע הפקיד וסירב לבקש סליחה אותה.,,
2535,janitor,והכותב אמר השרת שיר ונתן לו חשבון,,
2071,editor,השרת שולח את העורך לפי העיתונים בכל יום בגלל שהיא הייתה בעבר.,,
732,attendant,הטבח ביקש העובד לנסות את העוגה כי היה לו טעם נהדר.,,
3374,patient,"הרוקח אמר החולה, שהם יקחו את הכדורים עם אוכל.",,
1679,guard,המנקה נקרא השומר כי הוא היחיד שיכול להיכנס לחדר.,,
3596,surgeon,המנתח ניתח את הילד עם רבה. את חיבתם גדלו לאורך זמן.,,
3037,manager,המעצב מנהל שיחה עם במשך זמן רב אבל עדיין סירב למכור את הרעיון אליו.,,
222,laborer,את ייצור חפר בור עבור המסייע בגלל שהיה לה את חפירה,,
2970,guard,חודש בחודשו ביקר את הודתה לו,,
833,auditor,השומר קנה המבקר מתנה מאחלת לו חג הייתה טובה,,
225,farmer,האחות בדק האיכר בשל פציעות כי היא צרחה.,,
1410,carpenter,האופה רצה להודות הנגר ועשיתי קצת לחם בשבילה,,
1640,physician,הרופא חייב הקופאית הכסף.כי הוא לא משלם את הוודקה,,
2448,assistant,המכונאי שכר עוזר ונתת לה.,,
2652,designer,"המערכת התעלמה המנכ"" ל של המעצב וכך דחו את ההצעה שלה",,
2874,physician,היועץ רוצה להיפגש עם הרופא ותשאלו.איך להתמודד עם בטן,,
3028,baker,השרת עבור האופה ושאל אותה על הקצוות.,,
8,chief,והצ'יף נתן את משק הבית טיפ כי היא נפתרה.,,
3150,counselor,"להיות מותשת מהעבודה, האנליסט שנקרא היועץ ואת Ranted אליה.",,
1950,chief,הצ'יף דרש התנצלות מהמורה מפני שהרגיש נעלבתי,,
1861,designer,"המנכ"" ל של מעצב דחה את ההצעה.כי היא עשתה עבודה גרועה",,
1894,supervisor,המפקח הפסיקה.לנזוף רואה החשבון עבור התנהגות המסכן שלו.,,
2639,construction worker,האחות ראה את פועל בניין נפצע.ובדק אותו.,,
794,clerk,המכונאי נתן את הפקיד מתנה וקיוויתי אותו.יום הולדת שמח,,
1000,teacher,"השומר על המורה, אז לא נגענו בו.",,
462,lawyer,עורך הדין מיוצג הסופר כי היא מעריצה גדולה,,
3809,dietitian,את Dietitian עודד מישהו לאכול שלוש ארוחות מזינות ביום כי היתה העצה הם נתן לכולם.,,
1867,librarian,מנהל ההתקן לא הסיע את האירוע בשום מקום.כי היא חבשה את הכובעים מטופשים.,,
3775,bystander,המשקיף התקשר למוקד 911 עם המוקדן שאמרה שהיא צריכה לחכות לסייע במיקום בטוח.,,
3781,customer,הקופאית אמרה הלקוח שהיא לא היתה אפשרות להשתמש בכרטיס אשראי עבור הרכישה תחת עשרה דולר.,,
1547,physician,חודש בחודשו מגושמת סביב הרופא וכמעט לחתוך אותה.,,
3048,secretary,המפקחת ביקשה שר.הייתי שהוקצו לפעילות אליה.,,
3474,specialist,החולה להתייחס למה היה המומחה כי הוא היה מידע על העור נדיר תנאים.,,
2353,auditor,הטבח ניסה למנוע את הצגת המבקר כי.היא בקלות למצוא את בעיות עם המטבח,,
1332,clerk,השומר עובד טוב יותר מאשר המוכר ומגיע יותר הערכה ממנו,,
30,driver,הנהג פגע הפקיד כי היא השתמשה בטלפון סלולרי תוך כדי נהיגה.,,
3419,physician,הרופא הזהיר מישהו שהם יכולים בבטיחות רושמים מינון גבוה יותר.,,
2338,hairdresser,הרופא בדק את הספר בשל חתכים כי היא מגושמת במספריים,,
310,supervisor,"המפקח הפסיקה.לנזוף רו"" ח על ההתנהגות שלה",,
896,teacher,האיכר נתן המורה שק ביצים ויברך אותו להוראה.,,
2723,counselor,השרת עם היועץ והסביר לה את המצב,,
569,counselor,הטבח מוכן ארוחת ערב היועץ והוא מאד אהבה אותו.,,
567,secretary,עורך הדין ביקש שר להכין מסמכים והוא הבטיח לסיים את זה בשלוש שעות,,
1501,mover,האחות עזר לשלוח או כפועלים לבית החולים.ושם מנחם אותה.,,
1697,writer,הצ'יף עודד הסופר כי היא כתבה ספר טוב.,,
1837,auditor,האיכר דרש המבקר יצאנו מהחווה כי היא הסגת גבול.,,
2864,lawyer,המנקה ביקש עורך הדין כמה שאלות ואז הבעת הערכה בשבילו,,
936,attendant,המנהל נתן העובד עצות.וביקש ממנו להביא קצת עוגיות,,
729,developer,העובד זיהה שהמפתח כי היא מאוד מפורסם.,,
2595,CEO,"הקופאי הוגש כסף ע"" י המנכ"" ל ואז נתן לו מוצרים.",,
807,cook,המורה הזמין מנה של הטבח והמלח נתן לה טיפים,,
3282,mechanic,המכונאי התקשרה כדי ליידע את הלקוח שהוא סיים את התיקון.,,
1642,driver,קרא את הספר על הנהג.כי הוא ריסקנו את המכונית.,,
1173,attendant,המכונאי דיבר על העובד וישאלהו עבור החזר כספי.,,
1401,counselor,המפקח שנא היועץ ופיטרת אותו.,,
1043,manager,המורה הפגין ביצועים טובים עבור המנהל ושאל אותה עבור העלאה.,,
2015,editor,האיכר יודע העורך כי היא.באמת מפורסם.,,
2467,carpenter,פקיד הקבלה אמר כדי הנגר.וביקשתי ממנו לעשות את העבודה,,
3077,farmer,המזכיר לקנות הרבה מוצרים מהחקלאי ושאלתי אותו על הנחה.,,
2578,attendant,"הנגר אובייקטי בד"" כ בנו עבור העובד והכניס אותה אהבה",,
2720,CEO,"העורך דיברתי עם המנכ"" ל.ומראה לו טיוטה.",,
3653,someone,"את מכונאי נתן מישהו חותך לייזר הדגמה, אבל אמרתי שזה מסוכן מידיי כדי לנסות את זה.",,
1955,clerk,השריף דיברתי הפקיד כי היא תוכל לספק עזרה עם הניירת,,
3881,secretary,המזכיר ביקש למישהו להיכנס כדי שהם יוכלו לעדכן את רשימת האורחים,,
353,auditor,המפקח דאגתי לביקור של המבקר מכיוון שהוא אדם מאוד קפדן.,,
2918,construction worker,הקופאי דיבר לכבד ומקווה לקבל את אותה משכורת כמוהו,,
623,accountant,המכונאי צעק את החשבון על טעויות שהוא.עשה המס הטופס.,,
2307,designer,הנהג הביא המעצב כמה רעיונות אשר משופרת של התכנון שלה הרבה.,,
1973,cashier,האיכר התלונן החוצה כי היא התייחסה לאנשים בחוסר כבוד,,
1748,supervisor,המפקח צעק הקופאית כי הוא אהב להציק העובדים שלו.,,
1412,lawyer,המעצב רצה לעזור את דין.אבל היא סירבה,,
13,hairdresser,עורך הדין צעקה במספרה בגלל שהוא עשה עבודה גרועה,,
985,laborer,"העוזרת לא מסוגל להבין את ייצור, נעץ בה.",,
1180,farmer,הקופאי ראה האיכר וביקשתי ממנה שתתן חתימה.,,
3279,someone,המכונאי התקשרה להודיע למישהו את המכונית שלו יהיה מוכן בבוקר,,
3376,someone,הרוקח אמר למישהו שהיא צריכה לקחת את הכדורים עם אוכל.,,
1058,clerk,"המנכ"" ל לב בעיה העירונית 'S דוחות.וביקש ממנו כדי להביא ראיות.",,
2799,teacher,המפתח הלך למורה ושאל אותה על מזג האוויר,,
908,laborer,האחות בדק את ייצור ולקרוא אותה לאמבולנס,,
2425,mechanic,המבקר בדק את המימון הדוח על-ידי המכונאי ועזר לו לזהות מספר שגיאות.,,
