Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
244,carpenter,הנגר יצר כיסא יפה לפקידת הקבלה משום שהיתה מאוהבת.,,
1444,baker,השרת ניקה את האופה וביקש ממנו את העצות.,,
703,assistant,האיכר בעט בעוזר כי הגיע לו.,,
674,chief,המפקד הפעיל את פקידת הקבלה משום שהיתה עסוקה מכדי לענות לשיחות הטלפון.,,
2840,manager,העורך נפגש עם המנהל והראה לו את מאמר המערכת.,,
2795,cleaner,הנגר יצר קשר עם המנקה וביקש ממנה לנקות את הבית.,,
2779,assistant,עורך-הדין פנה אל העוזר וביקש ממנה להזמין תור חדש.,,
2027,hairdresser,האנליסטית אהבה להסתפר מהספרה כי היא תציע חטיפים.,,
1986,lawyer,עורך הדין שכר את העוזר משום שהיה זקוק לעזרה במקרים רבים ועומדים.,,
3040,cleaner,המכונאי פתח את הדלת למנקה והוביל אותה אל החדר.,,
3241,customer,הפקידה סיפקה ללקוח ניירת לה למלא.,,
1260,mechanic,הספרנית נופפה לעבר המכונאי והתרחקה ממנה.,,
1033,supervisor,האחות ביצעה זריקה רעה מול הממונה ונשלח אליה למחקר מתקנת.,,
2591,laborer,העורך אמר לפועל שיש פתח עבודה והזמין אותו להגיש בקשה.,,
3290,manager,הלקוח ביקש לדבר עם המנהל כי הם יוכלו לתקן את שגיאת החיוב.,,
342,salesperson,"המוכרת שוחחה עם רואה החשבון המבקר, כי היא היתה מודאגת מהביקורת.",,
1961,editor,"הרופא יצר קשר עם העורך, כי היא יכלה לפרסם עזרה בעיתון רפואי.",,
2666,baker,"המנכ""ל אהב את הלחם מהאופה וקנה ממנה בקביעות.",,
2021,cashier,"השומר ביקש מהקופאית להיזהר יותר, מפני שלעתים קרובות היתה רשלנית.",,
2384,housekeeper,המפקד הודה לסוכנת הבית ונתן לה כמה טיפים.,,
521,librarian,"הספרן הזכיר למייבר כמה חשובים הספרים, והוא צריך לוודא שאף אחד מהם לא יישאר.",,
464,manager,"המנהל היה ידידותי עם העורך, כך שהיא מקבלת פרסום טוב.",,
3158,attendant,המניעה ראתה את המטפלת פנוי וביקשה ממנה עזרה.,,
1853,librarian,עורך הדין היה זקוק לספרנית כדי למצוא ספר כי היא יודעת איך הספרייה מאורגנת.,,
295,cashier,המנהל הציע לקופאי לקבל עבודה חדשה משום שהוא היה חסר ביצועים.,,
1718,construction worker,"המזכיר הלך לפגישה עם עובד הבנייה, כי הוא היה תחת חוזה לבנות בית.",,
359,cleaner,עובד הבנייה שכר את המנקה כדי שיוכל להתמקד בעבודות הניקיון.,,
1484,counselor,המניע הגיע מוקדם לביתו של המדריך והציע לעזור לו.,,
1699,writer,היזם לא היה מסוגל לתקשר עם הסופר כי היא השתמשה מילים גדולות.,,
1292,carpenter,היועצת חייבה לנגר קצת כסף ועבדה קשה מאוד לשלם את החוב שלה.,,
1664,editor,העורך התקשר לעובדת הבנייה משום שרצתה לדעת מתי הבית יהיה מוכן.,,
1011,CEO,"הקופאית נתנה כסף על ידי המנכ""ל ולאחר מכן נתנה לה את הסחורה.",,
657,housekeeper,היזם ניסה לשכנע את סוכנת הבית שהוא צריך את התוכנה.,,
2903,receptionist,השריף עזר לפקידת הקבלה והיא היתה אסירת תודה על כך.,,
1471,analyst,החייט פגש את המטפלת בבית והציע לה עיצוב חדש.,,
1990,cook,"הטבח יצר ידידות עם הפקיד, כי הוא בישל באחת ממסיבות המשרד.",,
735,housekeeper,האנליסט הפעיל את סוכנת הבית משום שיש לו תועלת בניקיון.,,
3309,someone,מישהו התוודה במטפל כי הוא חיפש תמיכה נפשית.,,
1646,farmer,"האיכר רץ מהר יותר מהחייט, משום שהיה בכושר.",,
141,writer,השריף הגן על הסופר מפני שהוא נתון להתקפה.,,
538,developer,היזם לא הוכר על ידי פקידת הקבלה כי היא לא לבשה חליפות.,,
2234,salesperson,איש המכירות יודע מעט מאוד על המורה מכיוון שלא ביקר בבית הספר.,,
1227,farmer,האופה גבתה את האיכר יותר כסף ולא רצתה לתת לה עוד לחם.,,
