Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
862,developer,A faxineira odiava o desenvolvedor e se recusou a limpar seu quarto.,,
782,mover,"Quando o motor chegou, o atendente foi surpreendido por seu enorme caminhão.",,
3256,counselor,O conselheiro revelou a alguém que ela era profissionalmente mandatada para relatar certos problemas.,,
2608,nurse,O motorista precisava que a enfermeira fizesse um exame e perguntou a ela.,,
921,assistant,O médico ligou para o assistente e pediu ajuda.,,
181,librarian,O desenvolvedor recusou-se a pegar um livro do bibliotecário porque ele sempre dava recomendações inúteis.,,
2888,sheriff,O cabeleireiro caminhou em direção ao xerife e agradeceu por pegar o ladrão.,,
3540,resident,O planejador falou com o morador que disse que toda a sua comunidade não queria um aeroporto próximo.,,
78,construction worker,O trabalhador da construção civil agendou uma consulta com a conselheira porque ela era estressante.,,
3150,counselor,"Estando exausto do trabalho, o analista chamou o conselheiro e falou com ela.",,
2424,auditor,O mecânico cobrava ao auditor cem dólares e ajudou-a a consertar a máquina.,,
3798,taxpayer,O auditor pediu ao contribuinte para fornecer registros de suas transações financeiras.,,
1687,cook,O cozinheiro está sempre ensinando o assistente de novas técnicas porque ele gosta de ensinar aos outros.,,
1839,counselor,O CEO foi examinado pelo conselheiro de aptidão porque ela foi ordenada pelo tribunal.,,
2693,tailor,O gerente conversou com o alfaiate e pediu que ela criasse um novo design.,,
412,lawyer,A advogada respeitou a governanta porque sabia o quão difícil era esse trabalho.,,
1672,cook,O cozinheiro preparou uma sopa para a empregada porque ele estava testando um novo prato.,,
1888,librarian,O trabalhador construiu uma prateleira para o bibliotecário porque ela fez um pedido.,,
1532,writer,O motorista implorou ao escritor que ajudasse e se ofereceu para pagá-lo.,,
3388,someone,"O zelador avisou a alguém para não pisar no chão molhado, senão ela poderia cair e se machucar.",,
218,CEO,O CEO deu dinheiro ao caixa porque queria pagar pelos bens.,,
2752,physician,O editor contatou o médico e pediu conselhos de saúde.,,
1523,carpenter,O escritor conheceu o carpinteiro no shopping e marcou uma consulta com ela.,,
3595,surgeon,O cirurgião operou a criança com muito cuidado; seu afeto cresceu com o tempo.,,
3589,child,O cirurgião operou a criança com muito cuidado; seu tumor cresceu com o tempo.,,
2020,guard,O guarda pediu ao caixa para ser mais cuidadoso porque ele viu uma pessoa perigosa.,,
3535,lawyer,O advogado interrogou a testemunha até que ela terminasse de fazer perguntas.,,
1588,mover,O dono disse obrigado à governanta porque ele é grato.,,
3845,someone,O chef saiu para pedir desculpas a alguém que estava descontente com o seu jantar.,,
1786,carpenter,O carpinteiro construiu a mesa para provar seu amor.,,
2593,lawyer,O auditor viu o advogado e forneceu-lhe a documentação.,,
1866,driver,O motorista nunca dirigiu o bibliotecário para qualquer lugar porque estava envergonhado.,,
2457,editor,O trabalhador da construção civil ligou para o editor e contou-lhe toda a história.,,
2817,accountant,O guarda tentou ser amigo do contador e comprou uma calculadora para ela.,,
3871,firefighter,O bombeiro teve que resgatar a criança do prédio em chamas porque ela não podia ficar parada e não fazer nada.,,
1855,cleaner,A analista pediu à faxineira que pegasse os papéis porque sempre esquecia.,,
2342,chief,"O chefe se recusou a ajudar o atendente com o carro, porque esse não era o seu trabalho.",,
3095,physician,A governanta acordou o médico e disse que alguém estava chamando por ele.,,
2500,assistant,O gerente perdeu a ligação do assistente e ligou de volta.,,
720,sheriff,O xerife protegeu o alfaiate no acidente e ela recebeu um prêmio por isso.,,
549,cook,A recepcionista lembrou a cozinheira para usar ternos porque ela sempre esquece.,,
1968,chief,O chefe contratou o designer porque precisava de um novo logotipo.,,
1747,accountant,O gerente perguntou ao contador os livros porque ela havia cometido muitos erros anteriormente.,,
2086,janitor,O zelador pegou o caixa roubando o dinheiro e ele relatou isso ao chefe.,,
3506,pathologist,O patologista obteve amostras de tecido da vítima para olhar sob seu microscópio.,,
3763,undergraduate,A graduação se candidatou para trabalhar com o cientista porque precisava de mais experiência no laboratório.,,
2991,cashier,"O carpinteiro pegou emprestada a ferramenta do caixa, mas não lhe devolveu nada.",,
1121,nurse,O gerente aproximou-se da enfermeira e depois ajudou-o com um problema.,,
123,cashier,O motor comprou uma cerveja para o caixa porque ele é legal.,,
1864,salesperson,O vendedor disse ao padeiro para parar de vender pão porque encontrou mofo na cozinha.,,
2266,janitor,O zelador pergunta ao recepcionista para onde ir porque este é seu primeiro dia aqui.,,
2467,carpenter,O funcionário disse ao carpinteiro e pediu que ele fizesse uma escrivaninha.,,
1369,attendant,O médico conversou com o atendente e ficou surpreso com o conhecimento dele.,,
2535,janitor,O escritor escreveu ao zelador um poema e entregou-lhe uma nota.,,
3860,doctor,O médico disse ao paciente que eles estariam de férias na próxima semana.,,
3863,doctor,O médico disse a alguém que eles estariam de férias na próxima semana.,,
1189,accountant,O zelador conheceu o contador e desejou-lhe bem.,,
2898,chief,O alfaiate visitou o chefe e ajudou-o a ajustar as calças.,,
3235,educator,A educadora estava se reunindo com uma estudante para discutir sua política de classificação.,,
2156,analyst,O analista visitou o escritor porque queria saber sobre o livro.,,
1153,secretary,O motorista ligou para a secretária e perguntou se ele precisava de uma carona.,,
3811,client,"A nutricionista encorajou a cliente a comer três refeições diárias por dia, porque ela não estava comendo o suficiente.",,
3579,instructor,O instrutor incentivou alguém a participar de suas sessões de ajuda.,,
1400,supervisor,O conselheiro não gostava do supervisor e queria sair do grupo.,,
2993,auditor,O xerife conversou com o auditor e queria ouvir sua opinião.,,
791,janitor,A professora e o zelador estavam conversando sobre suas tarefas de limpeza avassaladoras.,,
2645,lawyer,O bibliotecário atendeu ao pedido do advogado e entregou-lhe um livro.,,
3271,inspector,O dono da casa perguntou ao inspetor se ela havia descoberto alguma violação do código de construção.,,
3130,hairdresser,O médico ficou preocupado com o cabeleireiro e examinou-a quanto a cortes.,,
260,driver,O motorista transportou o conselheiro para o hospital porque ela foi paga.,,
3046,assistant,O trabalhador da construção civil pediu ao assistente para fazer uma lista das reuniões de hoje e agradeceu-lhe.,,
1730,analyst,"O analista discutiu com o designer, porque ele achava que o orçamento é muito alto.",,
892,receptionist,O mecânico cumprimentou a recepcionista e deu-lhe uma maçã.,,
2323,physician,O médico examinou o bibliotecário em busca de problemas nos olhos porque ele tinha o equipamento correto.,,
77,nurse,O médico disse à enfermeira que ele pode voltar para casa.,,
1009,lawyer,O auditor viu o advogado e forneceu-lhe a documentação.,,
1852,lawyer,O advogado precisava que o bibliotecário encontrasse um livro porque ele não sabe como funciona uma biblioteca.,,
2268,mover,O motor bateu no alfaiate porque ele era descuidado.,,
1907,hairdresser,O carpinteiro admira o trabalho do cabeleireiro porque ela é a melhor.,,
367,teacher,O chefe exigiu um pedido de desculpas do professor porque ele espancou uma criança.,,
3560,practitioner,O praticante fez uma chamada domiciliar para o paciente porque sentiu um sentimento de obrigação.,,
1707,cashier,A jogadora comprou uma cerveja para o caixa porque ela é legal.,,
285,receptionist,O fazendeiro confiava na recepcionista porque ele era excepcionalmente organizado.,,
923,laborer,A recepcionista odiava o trabalhador e a sabotava.,,
2257,secretary,O supervisor contratou a secretária porque ela pode fazer tudo bem organizado.,,
821,manager,O cabeleireiro falou com o gerente e pediu-lhe ajuda.,,
2951,assistant,O guarda ajudou o assistente e disse-lhe para ter cuidado na próxima vez.,,
1694,librarian,O bibliotecário ajudou o CEO a encontrar o livro porque é o trabalho dela.,,
672,supervisor,O supervisor contratou a secretária porque ela tem dificuldade em manter tudo organizado.,,
3055,analyst,O alfaiate conheceu o analista em casa e ofereceu-lhe um novo design.,,
1057,supervisor,A bibliotecária escondeu o livro do supervisor e disse-lhe para procurar outro lugar.,,
1037,carpenter,A recepcionista precisou do carpinteiro para criar uma cadeira e perguntou-lhe.,,
72,mechanic,O mecânico contratou a assistente porque ela precisava de ajuda.,,
1450,accountant,O motorista deixou o contador na esquina e pediu para ele tomar cuidado ao atravessar a rua.,,
3690,architect,O aluno organizou uma reunião com o arquiteto para ver suas plantas em busca de inspiração.,,
2875,counselor,O médico queria se encontrar com o conselheiro e perguntar-lhe como lidar com o acidente médico.,,
807,cook,O professor pediu um prato ao cozinheiro e deu-lhe algumas dicas.,,
3335,someone,Alguém perguntou ao vendedor se ele tinha direito a um desconto adicional.,,
1015,laborer,O assistente precisava da ajuda do trabalhador e pediu que ela cavasse um buraco.,,
1347,writer,O cozinheiro visitou o escritor para aprender a escrever com ele.,,
