Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
1761,lawyer,"Der Rechtsanwalt erklärte , dass das Komitee komponiert sei , weil er oft zu Schlussfolgerungen gelangt .",,
2166,receptionist,"Die Irritationen distanzierten sich vom Himmel , weil sie das Telefon beantworten musste .",,
3477,specialist,"Die Bezugnahme war auf die Franziskaner , weil er über seltene Hautbedingungen wusste .",,
257,accountant,"Die Irreführung in diesem Zusammenhang ist deshalb so stürmisch , weil er sich nie etwas gekauft hat .",,
2150,lawyer,"Der Rechtsanwalt bat den Generalsekretär , einige Dokumente vorzubereiten , weil er sie für den Fall brauchte .",,
772,counselor,"Die Irreführung erzählte den Bewohnern , dass er unter Anklage stünde .",,
1741,counselor,"Das Hauptquartier erzählte dem rumänischen Diktat , dass sie die Gelegenheit dazu hätte haben können .",,
2576,cashier,Die Irreführung spielt gern mit dem Spekulanten zusammen und forderte Geld aus ihr .,,
2982,janitor,Die Irritationen zeigten die Richtung und führten ihn zum Sündenbock .,,
2641,supervisor,"Die Irreführung in diesem Buch aus dem Falle Skandinavien und forderte ihn auf , irgendwo anders hinzusehen .",,
1195,assistant,"Die Anwältin gibt es in Istanbul und bat ihn , eine neue Ernennung zu finanzieren .",,
1086,cashier,"Der Manager wollte grausam für das Besten sein und suggerieren , dass er eine neue Stelle bekommen würde .",,
494,driver,"Die Irreführung beschuldigte den Fahrer , weil sie zu spät war .",,
446,construction worker,"Die Bauarbeiter übergeben Formulare an die Bewaffneten , damit sie ein neues Entwicklungsprojekt starten kann .",,
1624,auditor,"Die Unten kauften die Wache ein Geschenk , weil sie stürmisch ist .",,
3426,carpenter,Die Irritationen berichteten über seine Arbeit in Bezug auf das Repräsentantenhaus drei Wochen .,,
269,librarian,"Der Rechtsanwalt brauchte Skandinavien , um ein Buch zu finden , weil er weiß , wie das Bewaffnete organisiert ist .",,
64,mechanic,"Die Unwägbarkeiten legten das Problem für das Tribunal fest , und sie erhoben tausend Dollar .",,
293,auditor,"Die Unbeholfenheit wurde untersucht , weil er sich beschwerte .",,
1224,analyst,"Die Irreführung hat dem zugesprochen und ihr das Gefühl gegeben , willkommen zu sein .",,
1996,lawyer,"Der Rechtsanwalt respektierte die Ohnehin , weil er wusste , wie schwierig diese Aufgabe war .",,
2376,designer,Die Irreführung argumentierte mit den Skandalen und Schauplätzen .,,
2185,teacher,Der Rechtsanwalt stellte ein paar Fragen zu ihrem Wohle .,,
168,construction worker,"Die Bauarbeiter konstatieren für das Spektakel , weil sie stürmisch war .",,
1447,cook,"Die Abhaltung des Telefonanrufs durch das Attentat erfolgte und begann , die Operation auf sie vorzubereiten .",,
3277,customer,"Die Irreführung hat dazu aufgerufen , dass ihr Auto morgens bereit wäre .",,
3395,janitor,"Die Irritationen warnten jemanden , der nicht auf dem stürmischen Boden einmarschiert , andernfalls müssten sie es wieder und wieder aufs Tapet bringen .",,
3384,child,"Die Unwägbarkeiten warnten das Kind davor , nicht einzuschreiten , wenn er sonst fallen und schaden könnte .",,
3199,supervisor,Die Mitarbeiter gaben dem zufälligen Feedback über ihren Geschäftsstil nach .,,
1715,laborer,"Die Irritationen sind mehr als nur das , was er sich wünscht .",,
803,salesperson,"Die Unbeholfenen gaben einigen Bücher zu den Ozeanen und forderten sie auf , zu lesen .",,
2672,analyst,"Die Irreführung war ein Beleg dafür , dass sie schlechte Berichte aus dem Osmanischen Reich erhielt und ihm aufforderte , abzuziehen .",,
3655,machinist,"Die Irreführung gab dem Kind eine eindrucksvolle Demonstration , sagte aber nur , es könne funktionieren .",,
3192,employee,Die Irreführung hat den Mitarbeitern Rückmeldungen auf seine zähe Leistung gegeben .,,
