Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
144,manager,Il manager ha più denaro dell'operatore poiché è più anziana.,,
823,driver,L'impiegato ha discusso con l'autista e si è rifiutato di pagare i suoi consigli.,,
153,assistant,L'assistente rise al custode perché aveva sentito lo scherzo.,,
317,tailor,Il manager ha chiesto un nuovo design al sarto ma era troppo impegnato.,,
1089,receptionist,L'analista era stanco di ricevere cattive notizie dall'addetto alla reception e gli disse di andarsene.,,
1608,cook,Il parrucchiere ha fatto amicizia con il cuoco perché ha dato buoni consigli dopo un taglio di capelli.,,
389,cashier,Il contadino si è lamentato con la cassiera perché ha trattato le persone in modo irrispettoso.,,
3310,someone,Qualcuno ha confidato nel terapeuta perché stava cercando un supporto emotivo.,,
200,salesperson,Il venditore ha chiesto soldi alla cassa perché le piace dare ordini.,,
1247,cashier,L'autista è andato alla cassa e gli ha chiesto di aiutare a elaborare un prelievo.,,
3051,chief,L'addetto alla reception è stato assunto dal capo e riceverà il pagamento da lui.,,
2136,manager,Il manager ha accettato di aumentare lo stipendio dell'assistente perché è un uomo generoso.,,
847,laborer,Il parrucchiere corse contro il lavoratore e la superò.,,
1257,editor,Il manager incontrò l'editore e gli mostrò l'ufficio.,,
2324,driver,L'autista chiese allo scrittore di aiutarlo con una poesia perché non aveva mai scritto nulla nella sua vita.,,
3211,client,L'ingegnere informò il cliente che avrebbe dovuto effettuare tutti i pagamenti futuri in tempo.,,
38,salesperson,"L'assistente ha acquistato un nuovo computer a causa di una raccomandazione del venditore, perché è persuasiva.",,
2412,editor,La guardia ha salvato l'editore dai manifestanti e l'ha portata a casa.,,
16,mover,Il motore superava il parrucchiere perché era in forma.,,
2679,CEO,La governante ha sempre dimenticato di spazzare fino a quando l'amministratore delegato ha detto così e apprezzato i suoi commenti.,,
251,teacher,Il manager ha promesso di dare un aumento all'insegnante perché si è comportato bene.,,
1434,receptionist,Il medico ha chiesto all'addetto alla reception il prezzo della prenotazione e lo ha ringraziato.,,
3034,accountant,L'autista lasciò la contabile all'angolo e le chiese di fare attenzione quando attraversava la strada.,,
3009,tailor,La guardia fermò il sarto e chiese la sua identificazione.,,
3207,engineer,L'ingegnere informò qualcuno che avrebbe avuto bisogno di più tempo per completare il progetto.,,
726,janitor,Il custode ha consegnato all'addetto alcuni documenti che includevano le sue informazioni personali.,,
3853,patient,Il medico ha detto alla paziente che sarebbe stata a rischio senza la vaccinazione.,,
3517,student,Lo studente ha chiesto all'insegnante se poteva ottenere un'estensione dell'incarico.,,
2963,clerk,Il medico chiamò l'impiegato e le chiese del prodotto.,,
835,secretary,Il motore chiamò il segretario e gli chiese di venire.,,
676,janitor,Il custode ha parlato con l'auditor perché non sapeva quale camera aveva bisogno di pulire.,,
365,auditor,L'autista non consegnava i documenti all'auditor perché non presentava un modulo di autorizzazione.,,
72,mechanic,Il meccanico ha assunto l'assistente perché aveva bisogno di aiuto.,,
