Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
1725,writer,"Der Sheriff schützte den Verfasser, weil sie angegriffen wird.",,
959,chief,Der Sekretär hinderte den Leiter an jeder Drehung und über sie sogar geklatscht.,,
2141,tailor,"Die Aufsichtskraft wurde vom Schneider beeindruckt, weil sie großes Talent zeigte.",,
3141,sheriff,Der Herausgeber betrog den Sheriff in das Glauben alles war fein und veröffentlichte die Geschichte über ihn irgendwie.,,
317,tailor,"Der Manager bat um einen neuen Entwurf vom Schneider, aber er war zu beschäftigt.",,
1268,sheriff,Der Reiniger bewegte am Sheriff wellenartig und ging in Richtung zu ihr.,,
1680,laborer,"Der Arbeiter trat den Kassierer, weil er getrunken wurde.",,
3716,baker,"Der Kunde bestellte einen Schokoladenkuchen vom Bäcker, obwohl sie schlechte Berichte online hatten.",,
1617,auditor,"Der Wirtschaftsprüfer fing den betrügenden Entwickler, weil sie die Schlüsseldokumente entdeckte.",,
3666,appraiser,"Der Abschätzer sagte dem Käufer, dass er die Malerei an den Zehntausenddollar bewertete.",,
1409,auditor,Der Sheriff sprach mit dem Wirtschaftsprüfer und wollte seine Meinung hören.,,
3307,teenager,"Der Jugendliche vertraute dem Therapeuten, weil sie emotionale Unterstützung suchte.",,
766,chief,"Der Leiter bat den Herausgeber, die Dokumente nochmals zu machen, weil sie nicht erfüllt war.",,
764,editor,"Der Sheriff bat den Herausgeber, die Geschichte zurückzunehmen, weil er immer zu viele Details schrieb.",,
3391,janitor,"Der Hausmeister warnte das Kind, nicht auf den nass Boden zu treten, andernfalls sie würde ihn noch einmal wischen müssen.",,
1355,designer,Die Aufsichtskraft lud den Designer zur Partei ein und er lächelte.,,
1721,attendant,"Der CEO könnte den Begleiter nicht verstehen, weil sie zu schnelles sprach.",,
722,driver,"Der Fahrer holte dem Designer einige Ideen, die sie auf sehr stolz war.",,
2883,hairdresser,Der Hausmeister stellte dem Friseur einige Fragen und ließ sie herein.,,
3274,inspector,"Jemand fragte den Inspektor, ob sie irgendwelche Baubestimmungsverletzungen entdeckt hatte.",,
