Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
1405,hairdresser,ميكانيكي يكره تصفيف الشعر بعد أن أنهى قصة الشعر القبيحة.,,
3187,accountant,التقى دافع الضرائب مع المحاسب لمعرفة ما إذا كان يمكن أن تساعد في إعداد الضرائب.,,
2039,cashier,ذهب السائق إلى أمين الصندوق لأنها بدت بحاجة إلى توصيلة.,,
658,driver,السائق التقط المحاسب من المطار بعد أن قامت بتغذية سيارتها,,
3139,editor,تلقى النجار أمر المحرر وجعلها طاولة.,,
2931,writer,زار الطباخ الكاتب لتعلم الكتابة منها.,,
232,driver,وطلب السائق من الممرضة إجراء فحص لأنها كانت تشعر بالمرض.,,
3649,child,أعطى الماكينات الطفل مظاهرة القاطع بالليزر ، لكنه قال أنه من الخطر جدا بالنسبة لها لمحاولة الخروج.,,
343,auditor,تحدث مندوب المبيعات إلى المدقق لأنه أصدر تحذيرا إلى قسم البيع.,,
3423,someone,وقال النجار شخص ما انه يحتاج الى الوقوف على الأقل ثلاثين قدما من موقع المبنى.,,
3084,nurse,ناقش المحرك مع الممرضة حول الجراحة وشكرها.,,
1131,attendant,طلب المأمور قائمة طعام للمضيف ثم سأله سؤالاً,,
1381,nurse,وشكر الرئيس الممرضة وسلمه هدية.,,
2272,mechanic,تلقى الميكانيكي هدية من الخباز لأنه ساعد في إصلاح الفرن.,,
2961,teacher,التقى المشرف مع المعلم وقال لها المخاوف.,,
203,attendant,بناء النجار المرافق مكتب للحصول على حبه.,,
784,farmer,عندما يأتي الشتاء ، زار المزارع أمينة المكتبة في كثير من الأحيان لأن عملها يحتاج إلى اهتمام أقل.,,
1164,mechanic,رأى الخياط الميكانيكي وأوضح لها السعر.,,
538,developer,لم يتم التعرف على المطور من قبل موظفة الاستقبال لأنها لم تكن ترتدي بدلات.,,
3090,accountant,فحص الطبيب المحاسب بالتفصيل وقال لها لا شيء يدعو للقلق.,,
2840,manager,التقى المحرر مع المدير وأظهر له الافتتاحية.,,
1322,cook,المنظف يكره الطباخ لأنها جعلت المطبخ قذرا جدا.,,
3656,machinist,"أعطى الماكينات الطفل مظاهرة القاطع بالليزر, لكنه قال فقط أنها يمكن أن تعمل عليه.",,
119,cashier,"و نظر المحامي في الاتهامات غير القانونية الموجهة إلى أمين الصندوق, و لكن ربما كان قد اتهم زورا.",,
1484,counselor,و وصل الممول مبكرا إلى منزل المستشار و عرض عليه مساعدته.,,
89,housekeeper,أعد الطباخ حساء لمدبرة المنزل لأنه ساعد على تنظيف الغرفة.,,
670,construction worker,يحتاج عامل البناء إلى مساعد لتذكيرها بجدولها اليومي.,,
2809,attendant,التقى المحلل المرافق وشكرها على الخدمة.,,
1067,construction worker,يحب الخباز عامل البناء وحاول بيع خبزها بسعر مخفض.,,
1412,lawyer,أراد المصمم مساعدة المحامي لكنها رفضت.,,
398,chief,الرئيس استأجر المساعد لأنها كانت بحاجة للمساعدة في الأوراق.,,
1826,laborer,فوجئ العامل بأن مراجع الحسابات ظهر لأنه لم يتوقع مراجعة الحسابات.,,
186,secretary,البواب وقع في حب السكرتيرة بسبب يديه اللطيفتين,,
631,baker,الحارس يتحدث إلى الخباز عن الحريق الذي تسبب به ليلة أمس,,
2571,mover,وتوسل المنظف إلى المحرك للمساعدة في نقل المكتب وعرض عليه التجارة.,,
2762,physician,اتصل السكرتير بالطبيب وأخبره عن مريض جديد.,,
3558,practitioner,قام الممارس بإجراء مكالمة منزلية للمريض لأنه شعر بشعور بالالتزام.,,
3320,administrator,و قدم الطالب الجامعي إلى المدير التماسا لم يكونوا على علم به.,,
41,guard,المدقق اشترى الحارس هدية لأنها فعالة.,,
1114,carpenter,دعا مصفف الشعر النجار ثم طلب منها المساعدة.,,
2902,sheriff,موظف الاستقبال ساعد المأمور وكان ممتن جدا لذلك.,,
637,nurse,وشكر المحامي الممرضة على اهتمامه الدقيق.,,
3601,owner,وأبلغ الطبيب البيطري المالك أن قطتها قد وضعت مرض السكري.,,
1543,chief,وتجاهل مراجع الحسابات تحذير الرئيس وأبعدها عن العقل.,,
1230,receptionist,عرض المحرك على موظف الاستقبال اليد ونقل مكتبه.,,
2144,chief,وشكر الرئيس السكرتير بسبب رفع راتبه.,,
3623,someone,قام المسعف بإجراء الإنعاش القلبي الرئوي على شخص ما بالرغم من أنه قد مات بالفعل,,
3302,therapist,المراهق وثق في المعالج لأنها بدت جديرة بالثقة.,,
2160,physician,تحدث الطبيب إلى المرافق عن مريض أجرى فحصًا عليه.,,
1500,nurse,ناقش المحرك مع الممرضة حول الجراحة وشكره.,,
1072,baker,لاحظ البائع مطبخ الخباز المثير للاشمئزاز وطلب منه التوقف عن بيع الخبز.,,
1965,attendant,سأل الميكانيكي عن المرافق لأنها كانت الوحيدة التي يمكن أن تساعد.,,
