Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
2083,counselor,הרופא רצה לפגוש את היועץ כי יש לה יותר ניסיון בנוגע לתאונות רפואיות.,,
1239,clerk,עובד הבנייה העביר את הניירת לפקיד וביקש ממנו לעבד את הבקשה.,,
1630,farmer,החוואי שאל את המעצב. מה הוא יכול לעשות כדי לעזור,,
653,baker,השרת לא אוהב את האופה. כי הוא תמיד מבלגן את המטבח,,
2947,auditor,העובד הבניה חייך אל המבקר ונתן לה מים.,,
3062,nurse,המפתח ירד על ידי האחות ודיבר איתה על הניתוח.,,
7,assistant,המסייע סרק מסמכים עבור האנליסט מפני שהוא יודע כיצד להשתמש במכונת הסריקה.,,
3198,supervisor,העובד נתן למפקח משוב על סגנון הניהול שלו.,,
1101,sheriff,"הקופאי אמר לשריף שהכסף. אבד, אבל לא הצליח לשכנע אותה",,
2717,teacher,הפועל בירך את המורה והתחיל לשוחח איתה.,,
2377,developer,המעצב התווכח עם היזם ונתן לו סטירה בפנים.,,
308,sheriff,השריף שאל את הקופאי. כי נאמר לה שהכסף חסר,,
503,cashier,השרת תפס את הקופאי גונב. את הכסף וביקש רחמים,,
256,salesperson,איש המכירות שנא את רואה החשבון כי היא שנאה את כל הלקוחות.,,
2805,clerk,עורך הדין יצר קשר עין עם הפקיד וחייך אליה.,,
3116,writer,הנהג התחנן בפני הכותב לעזור והציע לשלם לה.,,
1427,analyst,הפקיד שאל את האנליסט מספר שאלות ושלח אותה מכאן.,,
36,guard,השומר הציל את העורך מהפושעים. כי היא הייתה בתפקיד,,
1464,secretary,המפקח ביקש מהמזכירות לעצור ולהקצות לו משימה.,,
1492,secretary,האיכר התייעץ עם המזכירה הרבה דברים והזמין אותו לארוחת ערב.,,
146,analyst,"האנליסט התווכח עם המעצב, כי היא חשבה שהתקציב גבוה מדי.",,
2105,librarian,הספרן הזכיר לאיש הספר כמה חשוב הספרים והיא הייתה צריכה לוודא שאף אחד לא נשאר.,,
1447,cook,האחות קיבלה את שיחת הטלפון מהטבח. והחלה להכין את הניתוח בשבילה,,
2432,cashier,הרופא היה חייב לכספי הקופאי וסירב לשלם לה בחזרה.,,
3382,pharmacist,הרוקח אמר למישהו שהיא ממליצה. לקחת את הגלולות עם האוכל,,
1765,librarian,היזם סירב לקחת ספר מהספרן משום שהיא תמיד נתנה המלצות חסרות תועלת.,,
331,assistant,השריף בוטח בעוזרת. כי הוא תמיד היה כן,,
782,mover,"כאשר הגיע הסדרן, המשגיח הופתע מהטנדר העצום שלה.",,
828,editor,השומר הציל את העורך. מהמפגינים והסיע אותו הביתה,,
3306,teenager,הנער התוודה בפני המטפל כי הוא חיפש תמיכה רגשית.,,
