Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
3269,someone,سأل أحدهم المفتش إذا كان المنزل الذي قام بشرائه سليمًا من الناحية الهيكلية.,,
1125,baker,طهى الطاهي الخباز ومن ثم قدم له بعض المساعدة.,,
2736,driver,اتصلت الوزيرة بالسائق وطلبت منه الذهاب إلى المنزل.,,
2800,manager,طالبت مدبرة المنزل برفع من المدير وامتثل لها.,,
3695,architect,شخص ما عقد اجتماع مع المهندس المعماري لعرض مخططاتهم للإلهام.,,
3388,someone,حذر البواب أحدهم من عدم التدخل على الأرض المبتلة ، وإلا فقد تسقط وتتأذى.,,
2321,attendant,تنافس الحارس مع الحاضنة لنفس الوظيفة على الرغم من كونها أكثر تأهيلاً.,,
376,physician,اتصل الطبيب بالمحرر لأنها كانت مهتمة بالنشر في مجلة طبية.,,
3792,auditor,طلب المدقق من دافعي الضرائب توفير سجلات له للتدقيق.,,
1563,designer,حاول مندوب المبيعات إقناع المصمم بأن شيئًا ما كان خاطئًا لكنه جعله مجنونا.,,
948,counselor,اتصل الرئيس بالمستشار وأخبره أنه يمكن أن يقضي يومه.,,
1207,accountant,اتصل الطباخ بالمحاسب وشرح له الوضع المالي.,,
1431,carpenter,أوقفت مدبرة المنزل النجار وساعدتها.,,
656,developer,حاول المطور إقناع مدبرة المنزل لشراء برنامجها.,,
2433,physician,وكان أمين الصندوق مدينًا للمال الطبيب ورفض دفعه مرة أخرى.,,
3684,student,أعد الطالب اجتماعًا مع المهندس لاستكشاف خياراته المهنية.,,
3851,chef,خرج الشيف للاعتذار لشخص كان غير راض عن أسلوب إعداده.,,
3208,engineer,أخبر المهندس أحدهم أنها ستحتاج إلى مزيد من الوقت لإكمال المشروع.,,
652,janitor,لا يحب بواب الخباز لأنها تحتاج إلى المساعدة في تنظيف الجهاز الفوضوي كل يوم.,,
3241,customer,وزوَّد الموظف العميل بالأوراق اللازمة لملئه.,,
612,mechanic,أخبرت الميكانيكي مصفف الشعر أنها بحاجة إلى قصة شعر رائعة.,,
3770,dispatcher,اتصل المارة بـ 911 وتحدث إلى المرسل الذي قال إنهم كانوا يرسلون المساعدة.,,
2241,housekeeper,حاول المطور إقناع مدبرة المنزل بأنها بحاجة إلى البرنامج.,,
899,CEO,أرسل المحاسب المستندات إلى المدير التنفيذي وطلب منها التوقيع.,,
924,teacher,كان عامل البناء يحدق في المعلم وطلب منه المغادرة.,,
3831,broker,اتصل السمسار بشخص ما لأنه كان لديه أسهم جديدة ليوصي بها.,,
1170,farmer,وسلمت الموظفة وثيقة إلى المزارع وشرحت لها أهمية الإيداع الفوري.,,
525,counselor,قام الحارس بفحص هوية المرشد ودعه يدخل المبنى.,,
589,nurse,شكر رئيس الممرضة لأنه لطيف جدا لمرضاه.,,
2448,assistant,استأجرت ميكانيكي المساعد وأعطتها توجهاً.,,
867,writer,أجاب المدير على مكالمة هاتفية من الكاتب وطلب منه عدم الاتصال مرة أخرى.,,
3850,chef,خرج الشيف للاعتذار لشخص كان غير راض عن أسلوب إعدادها.,,
838,designer,دعا المزارع المصمم وطلب منه تصميم موقع على شبكة الإنترنت.,,
1508,tailor,رأى العامل الخياط في الزاوية وتحدث معه لمدة ساعتين.,,
1465,supervisor,وقد استقبلت الأمانة المشرفة وسلمتها التقرير.,,
3799,taxpayer,طلب المدقق من دافعي الضرائب تقديم سجلات لمعاملاتها المالية.,,
3649,child,أعطت الماكنة الطفل مظاهرة قاطعة بالليزر ، لكنها قالت إنه من الخطورة بمكان أن تجربها.,,
1182,salesperson,استأجرت خياط مندوب مبيعات وطلبت منها بيع الدعاوى لرجال الأعمال.,,
1869,receptionist,يثق المزارع في موظف الاستقبال لأنها كانت منظمة بشكل استثنائي.,,
1405,hairdresser,يكره الميكانيكي مصفف الشعر بعد أن أنهى قص شعره القبيح.,,
102,assistant,يقوم الطباخ دائمًا بتدريس تقنيات المساعد الجديدة حتى يكون يومًا ما متساوياً في المهارات.,,
292,physician,فحص الطبيب مدقق القروح لأنها كانت شاملة.,,
1859,construction worker,لم يثق عامل البناء أبدا بالخباز لأنه لا يثق بأحد.,,
1523,carpenter,قابلت الكاتبة النجار في مركز التسوق وعقدت موعد معها.,,
3787,cashier,أخبرت أمين الصندوق العميل أنها لا تستطيع قبول بطاقات الائتمان لمشتريات أقل من عشرة دولارات.,,
2882,janitor,طلب مصفف الشعر من الحارس بعض الأسئلة وأعطاه قصة شعر جديدة.,,
1216,manager,وطالبت مدبرة المنزل برفع من المدير وفقت.,,
1495,farmer,أعاد المساعد جدولة الاجتماع للمزارع وأخبرها أن تكون مستعدة جيداً.,,
2697,designer,أدرك الميكانيكي المصمم ثم استقبلها.,,
3323,administrator,وقدم أحدهم للمسؤول التماسًا بأنه لم يكن على دراية به.,,
2808,analyst,خدم الخادم المحلل وجعله يشعر بالترحاب.,,
429,clerk,ترك المحامي المستندات مع الموظف لكنه فقدها.,,
620,lawyer,وقال المحامي للمصمم انها تلقت دعوى قضائية.,,
3622,someone,قام المسعف بإجراء الإنعاش القلبي الرئوي على شخص ما على الرغم من أنها كانت ميتة بالفعل.,,
1781,secretary,كان المطور وقحا للسكرتير لأنها كانت مكروهة عالميا.,,
1949,auditor,لن يعطي السائق الأوراق للعمل إلى المدقق لأنها لم تقدم نموذج تفويض.,,
1722,carpenter,جعل النجار أسداً خشبياً للمحاسب لأنه كريم.,,
2420,cleaner,تحدث مندوب المبيعات مع المنظف وأقنعها بشراء فراغا.,,
3336,visitor,طلب الزائر من موظف الاستقبال إذا كان بحاجة إلى تسجيل الدخول.,,
3221,someone,أخبر العامل أحدهم أنه يجب عليه تجنب الجزء المغلق من الشارع.,,
480,manager,أخبر المدير موظف الاستقبال أنها بحاجة إلى بعض المساعدة في الحفل.,,
1295,cashier,يتبع الحارس أمين الصندوق واكتشف أنه سرق بعض النقود من المتجر.,,
