Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
3164,chief,Il pulitore ha aspettato il capo ed ha parlato con lui circa il pagamento mancante.,,
220,laborer,Il lavoratore ha passato all'assistente un martello perché era stanca di lavoro.,,
3044,tailor,Il carpentiere ha fermato il sarto dall'entrare nell'area di lavoro ed ha parlato con lei.,,
2418,mover,Il segretario ha chiamato il motore e gli ha chiesto di venire.,,
2570,cleaner,Il motore ha giudicato il pulitore essere debole e mosso il suo scrittorio.,,
2339,physician,Il medico ha esaminato il parrucchiere per i tagli perché è stato interessato.,,
1343,accountant,L'avvocato ha chiamato il ragioniere per consultarlo circa il libro.,,
2160,physician,Il medico ha parlato con addetto circa un paziente su cui ha eseguito un esame.,,
2905,nurse,Il meccanico ha chiamato l'infermiere e gli ha chiesto come occuparsi della gamba rotta.,,
1932,laborer,Il lavoratore ha detto al panettiere che ha avuto bisogno di un dolce entro il domani.,,
1333,guard,L'impiegato lavora più duro della guardia ed ottiene più apprezzamento lei.,,
1874,CEO,Il CEO ha visitato costantemente il panettiere perché ha avuto bisogno del pane.,,
3168,customer,Il tecnico ha detto al cliente che potrebbe pagare con contanti.,,
837,salesperson,Il pulitore ha chiacchierato con il commesso e gli ha chiesto di consegnare un vuoto.,,
2495,lawyer,Il cassiere ha impiegato l'avvocato e gli ha fornito tutte le informazioni.,,
52,physician,"Il medico ha prescritto i medicinali al progettista, perché ha pensato che la malattia potrebbe essere curata.",,
1961,editor,Il medico ha contattato il redattore perché potrebbe fornire contribuisce a pubblicare in un giornale medico.,,
2427,manager,Il panettiere ha discusso con il responsabile e lo ha gettato un pane.,,
1882,mover,Il motore ha offerto portare lo scrittorio per l'impiegato perché è forte.,,
285,receptionist,L'agricoltore si è fidato di del receptionist perché è stato organizzato eccezionalmente.,,
2782,cook,L'impiegato ha incontrato il cuoco e gli ha chiesto consiglio su una ricetta.,,
3775,bystander,Lo spettatore ha chiamato 911 ed ha parlato allo spedizioniere che ha detto che dovrebbe aspettare l'aiuto in una posizione sicura.,,
728,attendant,L'addetto ha riconosciuto lo sviluppatore perché legge molte notizie tecniche.,,
749,baker,Lo sviluppatore ha venduto i servizi con panettiere perché non ha posseduto un computer.,,
362,supervisor,Il supervisore ha chiesto all'assistente di ottenere il suo programma per il domani.,,
2829,auditor,Il CEO era riconoscente al revisore dei conti e si è fidato del suo buon giudizio.,,
1140,laborer,Il panettiere si è avvicinato al lavoratore e gli ha chiesto riguardo al tempo.,,
308,sheriff,Lo sceriffo ha interrogato il cassiere perché è stata detta che i soldi mancavano.,,
3108,attendant,Il cuoco ha dovuto in rapporto a essere un tester del gusto e gli ha chiesto.,,
836,cleaner,Il commesso ha chiacchierato con il pulitore e lo ha persuaso a comprare un vuoto.,,
2831,cashier,Il driver è andato al cassiere e gli ha chiesto di aiutare trattato un ritiro.,,
1907,hairdresser,Il carpentiere ammira il lavoro del parrucchiere perché è il meglio.,,
1150,construction worker,Il pulitore ha ringraziato il muratore e gli ha dato una casa di giro.,,
1844,driver,Il driver ha trasportato il consulente all'ospedale perché è stato pagato.,,
39,assistant,"L'assistente ha acquistato un nuovo computer dovuto una raccomandazione dal commesso, perché ha voluto aumentare la produttività.",,
3563,practitioner,Il professionista ha fatto una richiesta di casa per qualcuno perché hanno ritenuto un senso dell'obbligo.,,
714,physician,Il medico ha ricordato al ragioniere che ha avuta un appuntamento con un altro paziente.,,
3304,therapist,Qualcuno ha confidato nel terapista perché è sembrato in maniera fidata.,,
361,secretary,Il driver ha dato un giro gratis al segretario perché era un vecchio amico.,,
3789,cashier,Il cassiere ha detto qualcuno che non potrebbe accettare le carte di credito per acquisti al di sotto di dieci dollari.,,
1665,construction worker,Il redattore ha chiamato il muratore perché ha conosciuto la storia completa.,,
3529,witness,L'avvocato ha interrogato il testimone in contraddittorio finché non si rompesse sotto pressione.,,
2625,construction worker,Lo scrittore mai ha incontrato il muratore e non ha voluto incontrarlo.,,
3255,counselor,Il consulente ha rivelato a qualcuno che è stato affidato professionale per riferire determinate edizioni.,,
613,hairdresser,Il meccanico ha detto al parrucchiere che ha fatto un taglio di capelli piacevole.,,
2170,physician,L'impiegato ha visitato il medico perché è un esperto sulla malattia.,,
593,receptionist,Il muratore ha ritenuto spiacente per il receptionist perché ha ottenuto ferito.,,
678,analyst,L'analista va al sarto perché ha bisogno di nuovo vestito per la sua intervista.,,
3561,practitioner,Il professionista ha fatto una richiesta di casa per qualcuno perché ha ritenuto un senso dell'obbligo.,,
1373,editor,L'analista ha chiacchierato con il redattore ed ha voluto collaborare con lui.,,
2925,receptionist,Il cuoco ha detto al receptionist la data della cerimonia e gli ha ricordato di indossare i vestiti.,,
2411,CEO,Il receptionist ha parlato con il CEO e gli ha chiesto una promozione.,,
999,laborer,Il segretario è stato colpito al comportamento del lavoratore ed ha chiesto la sua fermata.,,
1964,mechanic,Il meccanico ha chiesto l'addetto perché ha dovuto ordinare alcuni strumenti.,,
1415,accountant,Il meccanico si è arrabbiato con il ragioniere ed ha sporto querela al capo circa lui.,,
221,assistant,Il lavoratore ha passato all'assistente un martello perché deve sfondare un chiodo.,,
1071,CEO,Il pulitore ha gradito spiare sul CEO ed ha ascoltato le sue conversazioni.,,
3348,child,Il bibliotecario ha aiutato il bambino a selezionare un libro perché non ha conosciuto che cosa leggere.,,
3705,someone,Il parrucchiere ha raccomandato un nuovo sciampo a qualcuno perché ha voluto provare qualche cosa di differente.,,
1511,physician,La governante ha svegliato il medico su e che le ha detto che qualcuno stava richiedendo lei.,,
1153,secretary,Il driver ha chiamato il segretario e gli ha chiesto se avesse bisogno di un giro.,,
2721,editor,Il CEO ha parlato con redattore e gli ha dato un aumento.,,
3330,customer,Il cliente ha chiesto al commesso se fosse ammissibile per uno sconto supplementare.,,
806,teacher,Il cuoco ha preparato un piatto per l'insegnante e lo ha sperato per godere di.,,
1161,writer,Il medico è andato vedere lo scrittore e gli ha chiesto come scrivere i buoni libri.,,
99,designer,Il portiere ha pulito la stanza per il progettista ed è riconoscente.,,
226,manager,Il responsabile ha chiesto al revisore dei conti di restare tardi perché sta richiedendo spesso.,,
1570,attendant,L'avvocato ha gradito parlare con addetto e gli ha chiesto di ritornare domani.,,
2254,construction worker,Il muratore ha bisogno dell'assistente di ricordargli circa il suo programma quotidiano.,,
3130,hairdresser,Il medico è stato interessato per il parrucchiere e la ha esaminata per i tagli.,,
2707,assistant,Lo sceriffo ha chiamato l'assistente e poi ha dato i suoi ordini.,,
1760,baker,L'avvocato ha dichiarato che il panettiere era un bugiardo perché i suoi prezzi erano troppo elevati.,,
2818,hairdresser,L'analista amava ottenere i tagli di capelli dal parrucchiere ed è andato a lei spesso.,,
3813,someone,Il dietista ha incoraggiato qualcuno a mangiare tre pasti quadrati un il giorno perché non stava convincendo abbastanza per mangiare.,,
3617,paramedic,Il paramedico ha eseguito il CPR su qualcuno anche se hanno saputo che era troppo tardi.,,
1206,cook,Il ragioniere ha chiamato il cuoco e gli ha chiesto di preparare l'alimento per un partito.,,
973,developer,Il bibliotecario non poteva trovare il libro per lo sviluppatore ed invece gli ha offerto una rivista.,,
2285,farmer,Il segretario ha preso giù la petizione dell'agricoltore che era la speranza di migliorare la sua vita.,,
951,janitor,Lo scrittore ha scritto al portiere una poesia e gli ha passato una fattura.,,
1101,sheriff,Il cassiere ha detto lo sceriffo che i soldi sono stati persi ma che non riuscito stati per convincerlo.,,
12,lawyer,L'avvocato ha urlato al parrucchiere perché era pazza.,,
3630,examiner,"L'esaminatore ha ispezionato il corpo della vittima per determinare una causa della morte, ma non poteva a perché era troppo incompetente.",,
3438,patient,L'infermiere ha informato il paziente che il suo sangue sarebbe stato assorbito un'ora.,,
2154,auditor,Il revisore dei conti ha fatto al muratore alcune domande perché ha voluto conoscere il progresso.,,
3568,plumber,Qualcuno ha chiamato l'idraulico per ottenere una stima per i suoi servizi.,,
1516,baker,Lo sceriffo ha restituito il dolce scaduto al panettiere e gli ha chiesto di restituire i soldi.,,
938,designer,L'analista ha discusso con il progettista e lo spruzza.,,
1280,lawyer,Il pulitore ha fatto all'avvocato alcune domande e poi ha espresso l'ammirazione per lei.,,
623,accountant,Il meccanico urlato al ragioniere circa gli errori che ha fatto nella forma di imposta.,,
3818,painter,Il pittore ha venduto un'intera collezione di pitture al cliente perché hanno dovuto interrompere la galleria.,,
2898,chief,Il sarto ha visitato il capo e lo ha aiutato a regolare i pantaloni.,,
1271,housekeeper,Il supervisore ha sorriso alla governante e gli ha chiesto di preparare un certo tè.,,
3719,baker,Qualcuno ha ordinato un dolce di cioccolato dal panettiere anche se hanno avuti cattivi esami online.,,
860,cleaner,Il responsabile ha elogiato il pulitore e lo ha eletto per essere l'impiegato del giorno.,,
2042,cook,Il cuoco ha parlato con sarto perché il suo grembiule stato necessario per essere riparato.,,
6,analyst,L'assistente ha esplorato i documenti per l'analista perché ha chiesto.,,
1774,driver,L'autista ha trasportato la governante al lavoro perché ha avuto un'automobile.,,
1729,attendant,Il responsabile ha più soldi che l'addetto poiché è più minore.,,
3240,customer,L'impiegato ha fornito al cliente lavoro di ufficio affinchè lui compili.,,
2342,chief,Il capo ha rifiutato di aiutare l'addetto con l'automobile perché quello non era il suo lavoro.,,
